id,value
1,7
2,14
3,21
4,28
5,35
6,42
7,49
8,56
9,63
10,70
11,77
12,84
13,91
14,98
15,105
16,112
17,119
18,126
19,133
20,140
21,147
22,154
23,161
24,168
25,175
26,182
27,189
28,196
29,203
30,210
31,217
32,224
33,231
34,238
35,245
36,252
37,259
38,266
39,273
40,280
41,287
42,294
43,301
44,308
45,315
46,322
47,329
48,336
49,343
50,350
51,357
52,364
53,371
54,378
55,385
56,392
57,399
58,406
59,413
60,420
61,427
62,434
63,441
64,448
65,455
66,462
67,469
68,476
69,483
70,490
71,497
72,504
73,511
74,518
75,525
76,532
77,539
78,546
79,553
80,560
81,567
82,574
83,581
84,588
85,595
86,602
87,609
88,616
89,623
90,630
91,637
92,644
93,651
94,658
95,665
96,672
97,679
98,686
99,693
100,700
101,707
102,714
103,721
104,728
105,735
106,742
107,749
108,756
109,763
110,770
111,777
112,784
113,791
114,798
115,805
116,812
117,819
118,826
119,833
120,840
121,847
122,854
123,861
124,868
125,875
126,882
127,889
128,896
129,903
130,910
131,917
132,924
133,931
134,938
135,945
136,952
137,959
138,966
139,973
140,980
141,987
142,994
143,1001
144,1008
145,1015
146,1022
147,1029
148,1036
149,1043
150,1050
151,1057
152,1064
153,1071
154,1078
155,1085
156,1092
157,1099
158,1106
159,1113
160,1120
161,1127
162,1134
163,1141
164,1148
165,1155
166,1162
167,1169
168,1176
169,1183
170,1190
171,1197
172,1204
173,1211
174,1218
175,1225
176,1232
177,1239
178,1246
179,1253
180,1260
181,1267
182,1274
183,1281
184,1288
185,1295
186,1302
187,1309
188,1316
189,1323
190,1330
191,1337
192,1344
193,1351
194,1358
195,1365
196,1372
197,1379
198,1386
199,1393
200,1400
201,1407
202,1414
203,1421
204,1428
205,1435
206,1442
207,1449
208,1456
209,1463
210,1470
211,1477
212,1484
213,1491
214,1498
215,1505
216,1512
217,1519
218,1526
219,1533
220,1540
221,1547
222,1554
223,1561
224,1568
225,1575
226,1582
227,1589
228,1596
229,1603
230,1610
231,1617
232,1624
233,1631
234,1638
235,1645
236,1652
237,1659
238,1666
239,1673
240,1680
241,1687
242,1694
243,1701
244,1708
245,1715
246,1722
247,1729
248,1736
249,1743
250,1750
251,1757
252,1764
253,1771
254,1778
255,1785
256,1792
257,1799
258,1806
259,1813
260,1820
261,1827
262,1834
263,1841
264,1848
265,1855
266,1862
267,1869
268,1876
269,1883
270,1890
271,1897
272,1904
273,1911
274,1918
275,1925
276,1932
277,1939
278,1946
279,1953
280,1960
281,1967
282,1974
283,1981
284,1988
285,1995
286,2002
287,2009
288,2016
289,2023
290,2030
291,2037
292,2044
293,2051
294,2058
295,2065
296,2072
297,2079
298,2086
299,2093
300,2100
301,2107
302,2114
303,2121
304,2128
305,2135
306,2142
307,2149
308,2156
309,2163
