id,value
1,6
2,12
3,18
4,24
5,30
6,36
7,42
8,48
9,54
10,60
11,66
12,72
13,78
14,84
15,90
16,96
17,102
18,108
19,114
20,120
21,126
22,132
23,138
24,144
25,150
26,156
27,162
28,168
29,174
30,180
31,186
32,192
33,198
34,204
35,210
36,216
37,222
38,228
39,234
40,240
41,246
42,252
43,258
44,264
45,270
46,276
47,282
48,288
49,294
50,300
51,306
52,312
53,318
54,324
55,330
56,336
57,342
58,348
59,354
60,360
61,366
62,372
63,378
64,384
65,390
66,396
67,402
68,408
69,414
70,420
71,426
72,432
73,438
74,444
75,450
76,456
77,462
78,468
79,474
80,480
81,486
82,492
83,498
84,504
85,510
86,516
87,522
88,528
89,534
90,540
91,546
92,552
93,558
94,564
95,570
96,576
97,582
98,588
99,594
100,600
101,606
102,612
103,618
104,624
105,630
106,636
107,642
108,648
109,654
110,660
111,666
112,672
113,678
114,684
115,690
116,696
117,702
118,708
119,714
120,720
121,726
122,732
123,738
124,744
125,750
126,756
127,762
128,768
129,774
130,780
131,786
132,792
133,798
134,804
135,810
136,816
137,822
138,828
139,834
140,840
141,846
142,852
143,858
144,864
145,870
146,876
147,882
148,888
149,894
150,900
151,906
152,912
153,918
154,924
155,930
156,936
157,942
158,948
159,954
160,960
161,966
162,972
163,978
164,984
165,990
166,996
167,1002
168,1008
169,1014
170,1020
171,1026
172,1032
173,1038
174,1044
175,1050
176,1056
177,1062
178,1068
179,1074
180,1080
181,1086
182,1092
183,1098
184,1104
185,1110
186,1116
187,1122
188,1128
189,1134
190,1140
191,1146
192,1152
193,1158
194,1164
195,1170
196,1176
197,1182
198,1188
199,1194
200,1200
201,1206
202,1212
203,1218
204,1224
205,1230
206,1236
207,1242
208,1248
209,1254
210,1260
211,1266
212,1272
213,1278
214,1284
215,1290
216,1296
217,1302
218,1308
219,1314
220,1320
221,1326
222,1332
223,1338
224,1344
225,1350
226,1356
227,1362
228,1368
229,1374
230,1380
231,1386
232,1392
233,1398
234,1404
235,1410
236,1416
237,1422
238,1428
239,1434
240,1440
241,1446
242,1452
243,1458
244,1464
245,1470
246,1476
247,1482
248,1488
249,1494
250,1500
251,1506
252,1512
253,1518
254,1524
255,1530
256,1536
257,1542
258,1548
259,1554
260,1560
261,1566
262,1572
263,1578
264,1584
265,1590
266,1596
267,1602
268,1608
269,1614
270,1620
271,1626
272,1632
