id,value
1,8
2,16
3,24
4,32
5,40
6,48
7,56
8,64
9,72
10,80
11,88
12,96
13,104
14,112
15,120
16,128
17,136
18,144
19,152
20,160
21,168
22,176
23,184
24,192
25,200
26,208
27,216
28,224
29,232
30,240
31,248
32,256
33,264
34,272
35,280
36,288
37,296
38,304
39,312
40,320
41,328
42,336
43,344
44,352
45,360
46,368
47,376
48,384
49,392
50,400
51,408
52,416
53,424
54,432
55,440
56,448
57,456
58,464
59,472
60,480
61,488
62,496
63,504
64,512
65,520
66,528
67,536
68,544
69,552
70,560
71,568
72,576
73,584
74,592
75,600
76,608
77,616
78,624
79,632
80,640
81,648
82,656
83,664
84,672
85,680
86,688
87,696
88,704
89,712
90,720
91,728
92,736
93,744
94,752
95,760
96,768
97,776
98,784
99,792
100,800
101,808
102,816
103,824
104,832
105,840
106,848
107,856
108,864
109,872
110,880
111,888
112,896
113,904
114,912
115,920
116,928
117,936
118,944
119,952
120,960
121,968
122,976
123,984
124,992
125,1000
126,1008
127,1016
128,1024
129,1032
130,1040
131,1048
132,1056
133,1064
134,1072
135,1080
136,1088
137,1096
138,1104
139,1112
140,1120
141,1128
142,1136
143,1144
144,1152
145,1160
146,1168
147,1176
148,1184
149,1192
150,1200
151,1208
152,1216
153,1224
154,1232
155,1240
156,1248
157,1256
158,1264
159,1272
160,1280
161,1288
162,1296
163,1304
164,1312
165,1320
166,1328
167,1336
168,1344
169,1352
170,1360
171,1368
172,1376
173,1384
174,1392
175,1400
176,1408
177,1416
178,1424
179,1432
180,1440
181,1448
182,1456
183,1464
184,1472
185,1480
186,1488
187,1496
188,1504
189,1512
190,1520
191,1528
192,1536
193,1544
194,1552
195,1560
196,1568
197,1576
198,1584
199,1592
200,1600
201,1608
202,1616
203,1624
204,1632
205,1640
206,1648
207,1656
208,1664
209,1672
210,1680
211,1688
212,1696
213,1704
214,1712
215,1720
216,1728
217,1736
218,1744
219,1752
220,1760
221,1768
222,1776
223,1784
224,1792
225,1800
226,1808
227,1816
228,1824
229,1832
230,1840
231,1848
232,1856
233,1864
234,1872
235,1880
236,1888
237,1896
238,1904
239,1912
240,1920
241,1928
242,1936
243,1944
244,1952
245,1960
246,1968
247,1976
248,1984
249,1992
250,2000
251,2008
252,2016
253,2024
254,2032
255,2040
256,2048
257,2056
258,2064
259,2072
260,2080
261,2088
262,2096
263,2104
264,2112
265,2120
266,2128
267,2136
268,2144
269,2152
270,2160
271,2168
272,2176
273,2184
274,2192
275,2200
276,2208
277,2216
278,2224
279,2232
280,2240
281,2248
282,2256
283,2264
284,2272
285,2280
286,2288
287,2296
288,2304
289,2312
290,2320
291,2328
292,2336
293,2344
294,2352
295,2360
296,2368
297,2376
298,2384
299,2392
300,2400
301,2408
302,2416
303,2424
304,2432
305,2440
306,2448
307,2456
308,2464
309,2472
310,2480
311,2488
312,2496
313,2504
314,2512
315,2520
316,2528
317,2536
318,2544
319,2552
320,2560
321,2568
322,2576
323,2584
324,2592
325,2600
326,2608
327,2616
328,2624
329,2632
330,2640
331,2648
332,2656
333,2664
334,2672
335,2680
336,2688
337,2696
338,2704
339,2712
340,2720
341,2728
342,2736
343,2744
344,2752
345,2760
346,2768
