id,value
1,4
2,8
3,12
4,16
5,20
6,24
7,28
8,32
9,36
10,40
11,44
12,48
13,52
14,56
15,60
16,64
17,68
18,72
19,76
20,80
21,84
22,88
23,92
24,96
25,100
26,104
27,108
28,112
29,116
30,120
31,124
32,128
33,132
34,136
35,140
36,144
37,148
38,152
39,156
40,160
41,164
42,168
43,172
44,176
45,180
46,184
47,188
48,192
49,196
50,200
51,204
52,208
53,212
54,216
55,220
56,224
57,228
58,232
59,236
60,240
61,244
62,248
63,252
64,256
65,260
66,264
67,268
68,272
69,276
70,280
71,284
72,288
73,292
74,296
75,300
76,304
77,308
78,312
79,316
80,320
81,324
82,328
83,332
84,336
85,340
86,344
87,348
88,352
89,356
90,360
91,364
92,368
93,372
94,376
95,380
96,384
97,388
98,392
99,396
100,400
101,404
102,408
103,412
104,416
105,420
106,424
107,428
108,432
109,436
110,440
111,444
112,448
113,452
114,456
115,460
116,464
117,468
118,472
119,476
120,480
121,484
122,488
123,492
124,496
125,500
126,504
127,508
128,512
129,516
130,520
131,524
132,528
133,532
134,536
135,540
136,544
137,548
138,552
139,556
140,560
141,564
142,568
143,572
144,576
145,580
146,584
147,588
148,592
149,596
150,600
151,604
152,608
153,612
154,616
155,620
156,624
157,628
158,632
159,636
160,640
161,644
162,648
163,652
164,656
165,660
166,664
167,668
168,672
169,676
170,680
171,684
172,688
173,692
174,696
175,700
176,704
177,708
178,712
179,716
180,720
181,724
182,728
183,732
184,736
185,740
186,744
187,748
188,752
189,756
190,760
191,764
192,768
193,772
194,776
195,780
196,784
197,788
198,792
